name,species,weapon,base_strength
Droid Unit 24,Droid,Bare Hands,4
Kashyyyk Warrior 21,Wookie,Bare Hands,1
Alliance Operative 19,Human,Lightsaber,4
Kashyyyk Warrior 40,Wookie,Lightsaber,5
Droid Unit 16,Droid,Lightsaber,1
Kashyyyk Warrior 13,Wookie,Bowcaster,3
Alliance Operative 38,Human,Lightsaber,3
Alliance Operative 11,Human,Bowcaster,1
Droid Unit 35,Droid,Bowcaster,5
Kashyyyk Warrior 32,Wookie,Bowcaster,2
Droid Unit 08,Droid,Blaster,3
Kashyyyk Warrior 05,Wookie,Bare Hands,5
Alliance Operative 30,Human,Blaster,5
Alliance Operative 03,Human,Bare Hands,3
Droid Unit 27,Droid,Blaster,2
Kashyyyk Warrior 24,Wookie,Bare Hands,4
Alliance Operative 22,Human,Bare Hands,2
Droid Unit 19,Droid,Lightsaber,4
Kashyyyk Warrior 16,Wookie,Lightsaber,1
Alliance Operative 14,Human,Bowcaster,4
Droid Unit 38,Droid,Lightsaber,3
Kashyyyk Warrior 35,Wookie,Bowcaster,5
Droid Unit 11,Droid,Bowcaster,1
Kashyyyk Warrior 08,Wookie,Blaster,3
Alliance Operative 33,Human,Bowcaster,3
Alliance Operative 06,Human,Blaster,1
Droid Unit 30,Droid,Blaster,5
Kashyyyk Warrior 27,Wookie,Blaster,2
Droid Unit 03,Droid,Bare Hands,3
Alliance Operative 25,Human,Bare Hands,5
Droid Unit 22,Droid,Bare Hands,2
Kashyyyk Warrior 19,Wookie,Lightsaber,4
Alliance Operative 17,Human,Lightsaber,2
Kashyyyk Warrior 38,Wookie,Lightsaber,3
Droid Unit 14,Droid,Bowcaster,4
Kashyyyk Warrior 11,Wookie,Bowcaster,1
Alliance Operative 36,Human,Lightsaber,1
Alliance Operative 09,Human,Blaster,4
Droid Unit 33,Droid,Bowcaster,3
Kashyyyk Warrior 30,Wookie,Blaster,5
Droid Unit 06,Droid,Blaster,1
Kashyyyk Warrior 03,Wookie,Bare Hands,3
Alliance Operative 28,Human,Blaster,3
